"long","lat","order","hole","piece","id","group"
508168.8035,434256.2049,307,FALSE,"1","E06000010","E06000010.1"
507946.0962,435533.7992,308,FALSE,"1","E06000010","E06000010.1"
510966.6001,436533.0031,309,FALSE,"1","E06000010","E06000010.1"
513544.8967,433120.7999,310,FALSE,"1","E06000010","E06000010.1"
515254.9965,433081.1012,311,FALSE,"1","E06000010","E06000010.1"
515180.0984,431094.7998,312,FALSE,"1","E06000010","E06000010.1"
516047.2974,430159.7974,313,FALSE,"1","E06000010","E06000010.1"
515429.6785,427689.4344,314,FALSE,"1","E06000010","E06000010.1"
516814.7592,475008.7943,315,FALSE,"1","E06000011","E06000011.1"
519999.9862,473797.6003,316,FALSE,"1","E06000011","E06000011.1"
524066.6005,472253.7982,317,FALSE,"1","E06000011","E06000011.1"
525836.7,470650.5001,318,FALSE,"1","E06000011","E06000011.1"
523991.9992,469226.3048,319,FALSE,"1","E06000011","E06000011.1"
519999.9764,468535.6758,320,FALSE,"1","E06000011","E06000011.1"
519944.5977,468526.0952,321,FALSE,"1","E06000011","E06000011.1"
517967.9008,466164.3008,322,FALSE,"1","E06000011","E06000011.1"
517083.6027,463450.4981,323,FALSE,"1","E06000011","E06000011.1"
517161.9803,459999.9786,324,FALSE,"1","E06000011","E06000011.1"
517199.2002,458361.4007,325,FALSE,"1","E06000011","E06000011.1"
519999.9905,450308.0703,326,FALSE,"1","E06000011","E06000011.1"
521284.4036,446614.8972,327,FALSE,"1","E06000011","E06000011.1"
525636.26,440000.0088,328,FALSE,"1","E06000011","E06000011.1"
529075.9039,434771.6973,329,FALSE,"1","E06000011","E06000011.1"
539982.0005,420498.2017,330,FALSE,"1","E06000011","E06000011.1"
539999.9741,420447.7108,331,FALSE,"1","E06000011","E06000011.1"
540159.342,420000.0191,332,FALSE,"1","E06000011","E06000011.1"
541530.1917,416149.0692,333,FALSE,"1","E06000011","E06000011.1"
542221.9434,414098.4525,334,FALSE,"1","E06000011","E06000011.1"
542118.9559,413693.0462,335,FALSE,"1","E06000011","E06000011.1"
539999.9886,410781.5363,336,FALSE,"1","E06000011","E06000011.1"
539893.4085,410635.0927,337,FALSE,"1","E06000011","E06000011.1"
539903.2144,410676.4392,338,FALSE,"1","E06000011","E06000011.1"
539999.9876,410823.3323,339,FALSE,"1","E06000011","E06000011.1"
542113.2,414031,340,FALSE,"1","E06000011","E06000011.1"
541818.5,414922.7,341,FALSE,"1","E06000011","E06000011.1"
540000.0185,416283.5388,342,FALSE,"1","E06000011","E06000011.1"
537693.0976,418009.8953,343,FALSE,"1","E06000011","E06000011.1"
534519.9001,418893.5,344,FALSE,"1","E06000011","E06000011.1"
533592.4996,418418.7992,345,FALSE,"1","E06000011","E06000011.1"
532313.2014,419452.5004,346,FALSE,"1","E06000011","E06000011.1"
533451.4999,418377.5,347,FALSE,"1","E06000011","E06000011.1"
528799.3003,416476.3002,348,FALSE,"1","E06000011","E06000011.1"
525490.3996,417092.7988,349,FALSE,"1","E06000011","E06000011.1"
522416.4261,420000.008,350,FALSE,"1","E06000011","E06000011.1"
519999.9879,422285.3535,351,FALSE,"1","E06000011","E06000011.1"
517108.8994,425019.5993,352,FALSE,"1","E06000011","E06000011.1"
515916.3988,427476.4954,353,FALSE,"1","E06000011","E06000011.1"
515429.6785,427689.4344,354,FALSE,"1","E06000011","E06000011.1"
516047.2974,430159.7974,355,FALSE,"1","E06000011","E06000011.1"
515180.0984,431094.7998,356,FALSE,"1","E06000011","E06000011.1"
515254.9965,433081.1012,357,FALSE,"1","E06000011","E06000011.1"
513544.8967,433120.7999,358,FALSE,"1","E06000011","E06000011.1"
510966.6001,436533.0031,359,FALSE,"1","E06000011","E06000011.1"
507946.0962,435533.7992,360,FALSE,"1","E06000011","E06000011.1"
508168.8035,434256.2049,361,FALSE,"1","E06000011","E06000011.1"
506013.0993,433954.1013,362,FALSE,"1","E06000011","E06000011.1"
506338.804,431536.4034,363,FALSE,"1","E06000011","E06000011.1"
504376.9989,430522.5036,364,FALSE,"1","E06000011","E06000011.1"
504132.4009,429442.8027,365,FALSE,"1","E06000011","E06000011.1"
505475.8017,429362.2957,366,FALSE,"1","E06000011","E06000011.1"
504178.8041,427276.3028,367,FALSE,"1","E06000011","E06000011.1"
504417.3008,425955.8749,368,FALSE,"1","E06000011","E06000011.1"
500000.0242,425185.7856,369,FALSE,"1","E06000011","E06000011.1"
496298.1994,424541.2957,370,FALSE,"1","E06000011","E06000011.1"
493566.7998,426506.8001,371,FALSE,"1","E06000011","E06000011.1"
490458.0985,427268.5952,372,FALSE,"1","E06000011","E06000011.1"
490005.199,426692.2999,373,FALSE,"1","E06000011","E06000011.1"
491236.3008,426896.0006,374,FALSE,"1","E06000011","E06000011.1"
487752.9026,425864.9968,375,FALSE,"1","E06000011","E06000011.1"
486180.7009,423890.5006,376,FALSE,"1","E06000011","E06000011.1"
484251.2198,424133.274,377,FALSE,"1","E06000011","E06000011.1"
486028.1018,423141.1963,378,FALSE,"1","E06000011","E06000011.1"
485807.8054,420893.3277,379,FALSE,"1","E06000011","E06000011.1"
484528.3994,421078.197,380,FALSE,"1","E06000011","E06000011.1"
481089.9039,418441.3018,381,FALSE,"1","E06000011","E06000011.1"
481231.0016,419319.1006,382,FALSE,"1","E06000011","E06000011.1"
480142.9009,418759.0009,383,FALSE,"1","E06000011","E06000011.1"
476256.7975,415781.9031,384,FALSE,"1","E06000011","E06000011.1"
475119.4985,416283.4995,385,FALSE,"1","E06000011","E06000011.1"
469695.3036,418585.2006,386,FALSE,"1","E06000011","E06000011.1"
462971.3986,418147.296,387,FALSE,"1","E06000011","E06000011.1"
459323.7011,419602.0996,388,FALSE,"1","E06000011","E06000011.1"
460790.2006,421296.3046,389,FALSE,"1","E06000011","E06000011.1"
461165.7962,423457.7959,390,FALSE,"1","E06000011","E06000011.1"
